,geo_value,geo_type,value,time_value
2263988,42001,county,7.0,2020-09-17
2263990,42001,county,2.0,2020-09-18
2263992,42001,county,17.0,2020-09-19
2263994,42001,county,5.0,2020-09-20
2263996,42001,county,8.0,2020-09-21
2263998,42001,county,9.0,2020-09-22
2264000,42001,county,6.0,2020-09-23
2264002,42001,county,4.0,2020-09-24
2264004,42001,county,7.0,2020-09-25
2264006,42001,county,3.0,2020-09-26
2264008,42001,county,6.0,2020-09-27
2264010,42001,county,2.0,2020-09-28
2264012,42001,county,5.0,2020-09-29
2264014,42001,county,13.0,2020-09-30
2264016,42001,county,4.0,2020-10-01
2264018,42001,county,10.0,2020-10-02
2264020,42001,county,11.0,2020-10-03
2264022,42001,county,3.0,2020-10-04
2264024,42001,county,4.0,2020-10-05
2264026,42001,county,8.0,2020-10-06
2264028,42001,county,10.0,2020-10-07
2264030,42001,county,10.0,2020-10-08
2264032,42001,county,6.0,2020-10-09
2264034,42001,county,12.0,2020-10-10
2264036,42001,county,5.0,2020-10-11
2264038,42001,county,4.0,2020-10-12
2264040,42001,county,6.0,2020-10-13
2264042,42001,county,14.0,2020-10-14
2264044,42001,county,5.0,2020-10-15
2264046,42001,county,6.0,2020-10-16
2264048,42001,county,14.0,2020-10-17
2264050,42001,county,10.0,2020-10-18
2264052,42001,county,20.0,2020-10-19
2264054,42001,county,15.0,2020-10-20
2264056,42001,county,7.0,2020-10-21
2264058,42001,county,9.0,2020-10-22
2264060,42001,county,19.0,2020-10-23
2264062,42001,county,7.0,2020-10-24
2264064,42001,county,13.0,2020-10-25
2264066,42001,county,16.0,2020-10-26
2264068,42001,county,24.0,2020-10-27
2264070,42001,county,14.0,2020-10-28
2264072,42001,county,14.0,2020-10-29
2264074,42001,county,14.0,2020-10-30
2264076,42001,county,20.0,2020-10-31
2264078,42001,county,7.0,2020-11-01
2264080,42001,county,11.0,2020-11-02
2264082,42001,county,34.0,2020-11-03
2264084,42001,county,7.0,2020-11-04
2264086,42001,county,15.0,2020-11-05
2264088,42001,county,37.0,2020-11-06
2264090,42001,county,28.0,2020-11-07
2264092,42001,county,24.0,2020-11-08
2264094,42001,county,18.0,2020-11-09
2264096,42001,county,25.0,2020-11-10
2264098,42001,county,27.0,2020-11-11
2264100,42001,county,21.0,2020-11-12
2264102,42001,county,37.0,2020-11-13
2264104,42001,county,21.0,2020-11-14
2264106,42001,county,6.0,2020-11-15
2264108,42001,county,29.0,2020-11-16
2264110,42001,county,35.0,2020-11-17
2264112,42001,county,36.0,2020-11-18
2264114,42001,county,29.0,2020-11-19
2264116,42001,county,26.0,2020-11-20
2264118,42001,county,50.0,2020-11-21
2264120,42001,county,71.0,2020-11-22
2264122,42001,county,8.0,2020-11-23
2264124,42001,county,32.0,2020-11-24
2264126,42001,county,27.0,2020-11-25
2264128,42001,county,45.0,2020-11-26
2264130,42001,county,32.0,2020-11-27
2264132,42001,county,61.0,2020-11-28
2264134,42001,county,30.0,2020-11-29
2264136,42001,county,25.0,2020-11-30
2264138,42001,county,19.0,2020-12-01
2264140,42001,county,52.0,2020-12-02
2264142,42001,county,127.0,2020-12-03
2264144,42001,county,108.0,2020-12-04
2264146,42001,county,98.0,2020-12-05
2264148,42001,county,60.0,2020-12-06
2264150,42001,county,25.0,2020-12-07
2264152,42001,county,91.0,2020-12-08
2264154,42001,county,35.0,2020-12-09
2264156,42001,county,111.0,2020-12-10
2264158,42001,county,54.0,2020-12-11
2264160,42001,county,125.0,2020-12-12
2264162,42001,county,97.0,2020-12-13
2264164,42001,county,78.0,2020-12-14
2264166,42001,county,40.0,2020-12-15
2264168,42001,county,62.0,2020-12-16
2264170,42001,county,84.0,2020-12-17
2264172,42001,county,123.0,2020-12-18
2264174,42001,county,183.0,2020-12-19
2264176,42001,county,37.0,2020-12-20
2264178,42001,county,68.0,2020-12-21
2264180,42001,county,64.0,2020-12-22
2264182,42001,county,140.0,2020-12-23
2264184,42001,county,87.0,2020-12-24
2264186,42001,county,57.0,2020-12-25
2264188,42001,county,110.0,2020-12-26
2264190,42001,county,73.0,2020-12-27
2264192,42001,county,39.0,2020-12-28
2264194,42001,county,84.0,2020-12-29
2264196,42001,county,137.0,2020-12-30
2264198,42001,county,71.0,2020-12-31
2264200,42001,county,93.0,2021-01-01
2264202,42001,county,53.0,2021-01-02
2264204,42001,county,64.0,2021-01-03
2264206,42001,county,21.0,2021-01-04
2264208,42001,county,77.0,2021-01-05
2264210,42001,county,126.0,2021-01-06
2264212,42001,county,69.0,2021-01-07
2264214,42001,county,84.0,2021-01-08
2264216,42001,county,86.0,2021-01-09
2264218,42001,county,108.0,2021-01-10
2264220,42001,county,62.0,2021-01-11
2264222,42001,county,55.0,2021-01-12
2264224,42001,county,95.0,2021-01-13
2264226,42001,county,94.0,2021-01-14
2264228,42001,county,46.0,2021-01-15
2264230,42001,county,57.0,2021-01-16
2264232,42001,county,79.0,2021-01-17
2264234,42001,county,64.0,2021-01-18
2264236,42001,county,56.0,2021-01-19
2264238,42001,county,80.0,2021-01-20
2264240,42001,county,52.0,2021-01-21
2264242,42001,county,57.0,2021-01-22
2264244,42001,county,39.0,2021-01-23
2264246,42001,county,44.0,2021-01-24
2264248,42001,county,51.0,2021-01-25
2264250,42001,county,64.0,2021-01-26
2264252,42001,county,52.0,2021-01-27
2264254,42001,county,50.0,2021-01-28
2264256,42001,county,23.0,2021-01-29
2264258,42001,county,42.0,2021-01-30
2264260,42001,county,54.0,2021-01-31
2264262,42001,county,17.0,2021-02-01
2264264,42001,county,20.0,2021-02-02
2264266,42001,county,27.0,2021-02-03
2264268,42001,county,41.0,2021-02-04
2264270,42001,county,39.0,2021-02-05
2264272,42001,county,46.0,2021-02-06
2264274,42001,county,25.0,2021-02-07
2264276,42001,county,15.0,2021-02-08
2264278,42001,county,29.0,2021-02-09
2264280,42001,county,18.0,2021-02-10
2264282,42001,county,34.0,2021-02-11
2264284,42001,county,18.0,2021-02-12
2264286,42001,county,43.0,2021-02-13
2264288,42001,county,25.0,2021-02-14
2264290,42001,county,14.0,2021-02-15
2264292,42001,county,21.0,2021-02-16
2264294,42001,county,18.0,2021-02-17
2264296,42001,county,27.0,2021-02-18
2264298,42001,county,31.0,2021-02-19
2264300,42001,county,32.0,2021-02-20
2264302,42001,county,19.0,2021-02-21
2264304,42001,county,17.0,2021-02-22
2264306,42001,county,30.0,2021-02-23
2264308,42001,county,19.0,2021-02-24
2264310,42001,county,17.0,2021-02-25
2264312,42001,county,29.0,2021-02-26
2264314,42001,county,24.0,2021-02-27
2264316,42001,county,22.0,2021-02-28
2264318,42001,county,12.0,2021-03-01
2264320,42001,county,17.0,2021-03-02
2264322,42001,county,29.0,2021-03-03
2264324,42001,county,26.0,2021-03-04
2264326,42001,county,21.0,2021-03-05
2264328,42001,county,27.0,2021-03-06
2264330,42001,county,16.0,2021-03-07
2264332,42001,county,7.0,2021-03-08
2264334,42001,county,40.0,2021-03-09
2264336,42001,county,25.0,2021-03-10
2264338,42001,county,31.0,2021-03-11
2264340,42001,county,35.0,2021-03-12
2264342,42001,county,20.0,2021-03-13
2264344,42001,county,23.0,2021-03-14
2264346,42001,county,6.0,2021-03-15
2264348,42001,county,14.0,2021-03-16
2264350,42001,county,42.0,2021-03-17
2264352,42001,county,21.0,2021-03-18
2264354,42001,county,14.0,2021-03-19
2264356,42001,county,25.0,2021-03-20
2264358,42001,county,20.0,2021-03-21
2264360,42001,county,14.0,2021-03-22
2264362,42001,county,15.0,2021-03-23
2264364,42001,county,55.0,2021-03-24
2264366,42001,county,33.0,2021-03-25
2264368,42001,county,64.0,2021-03-26
2264370,42001,county,30.0,2021-03-27
2264372,42001,county,35.0,2021-03-28
2264374,42001,county,24.0,2021-03-29
2264376,42001,county,55.0,2021-03-30
2264378,42001,county,51.0,2021-03-31
2264380,42001,county,31.0,2021-04-01
2264382,42001,county,50.0,2021-04-02
2264384,42001,county,48.0,2021-04-03
2264386,42001,county,18.0,2021-04-04
2264388,42001,county,12.0,2021-04-05
2264390,42001,county,36.0,2021-04-06
2264392,42001,county,42.0,2021-04-07
2264394,42001,county,32.0,2021-04-08
2264396,42001,county,42.0,2021-04-09
2264398,42001,county,48.0,2021-04-10
2264400,42001,county,26.0,2021-04-11
2264402,42001,county,10.0,2021-04-12
2264404,42001,county,38.0,2021-04-13
2264406,42001,county,51.0,2021-04-14
2264408,42001,county,53.0,2021-04-15
2264410,42001,county,46.0,2021-04-16
2264412,42001,county,47.0,2021-04-17
2264414,42001,county,17.0,2021-04-18
2264416,42001,county,19.0,2021-04-19
2264418,42001,county,36.0,2021-04-20
2264420,42001,county,45.0,2021-04-21
2264422,42001,county,31.0,2021-04-22
2264424,42001,county,24.0,2021-04-23
2264426,42001,county,30.0,2021-04-24
2264428,42001,county,26.0,2021-04-25
2264430,42001,county,12.0,2021-04-26
2264432,42001,county,27.0,2021-04-27
2264434,42001,county,41.0,2021-04-28
2264436,42001,county,34.0,2021-04-29
2264438,42001,county,37.0,2021-04-30
2264440,42001,county,25.0,2021-05-01
2264442,42001,county,30.0,2021-05-02
2264444,42001,county,17.0,2021-05-03
2264446,42001,county,25.0,2021-05-04
2264448,42001,county,22.0,2021-05-05
2264450,42001,county,22.0,2021-05-06
2264452,42001,county,24.0,2021-05-07
2264454,42001,county,16.0,2021-05-08
2264456,42001,county,17.0,2021-05-09
2264458,42001,county,7.0,2021-05-10
2264460,42001,county,20.0,2021-05-11
2264462,42001,county,14.0,2021-05-12
2264464,42001,county,25.0,2021-05-13
2264466,42001,county,16.0,2021-05-14
2264468,42001,county,22.0,2021-05-15
2264470,42001,county,9.0,2021-05-16
2264472,42001,county,12.0,2021-05-17
2264474,42001,county,17.0,2021-05-18
2264476,42001,county,16.0,2021-05-19
2264478,42001,county,10.0,2021-05-20
2264480,42001,county,14.0,2021-05-21
2264482,42001,county,18.0,2021-05-22
2264484,42001,county,10.0,2021-05-23
2264486,42001,county,5.0,2021-05-24
2264488,42001,county,9.0,2021-05-25
2264490,42001,county,11.0,2021-05-26
2264492,42001,county,9.0,2021-05-27
2264494,42001,county,10.0,2021-05-28
2264496,42001,county,3.0,2021-05-29
2264498,42001,county,6.0,2021-05-30
2264500,42001,county,4.0,2021-05-31
2264502,42001,county,4.0,2021-06-01
2264504,42001,county,9.0,2021-06-02
2264506,42001,county,6.0,2021-06-03
2264508,42001,county,7.0,2021-06-04
2264510,42001,county,1.0,2021-06-05
2264512,42001,county,3.0,2021-06-06
2264514,42001,county,2.0,2021-06-07
2264516,42001,county,12.0,2021-06-08
2264518,42001,county,8.0,2021-06-09
2264520,42001,county,6.0,2021-06-10
2264522,42001,county,3.0,2021-06-11
2264524,42001,county,6.0,2021-06-12
2264526,42001,county,0.0,2021-06-13
2264528,42001,county,1.0,2021-06-14
2264530,42001,county,3.0,2021-06-15
2264532,42001,county,5.0,2021-06-16
2264534,42001,county,3.0,2021-06-17
2264536,42001,county,3.0,2021-06-18
2264538,42001,county,3.0,2021-06-19
2264540,42001,county,2.0,2021-06-20
2264542,42001,county,0.0,2021-06-21
2264544,42001,county,5.0,2021-06-22
2264546,42001,county,3.0,2021-06-23
2264548,42001,county,2.0,2021-06-24
2264550,42001,county,6.0,2021-06-25
2264552,42001,county,3.0,2021-06-26
