,geo_value,geo_type,value,time_value
2268535,42009,county,21.0,2020-11-02
2268538,42009,county,15.0,2020-11-03
2268541,42009,county,13.0,2020-11-04
2268544,42009,county,38.0,2020-11-05
2268547,42009,county,31.0,2020-11-06
2268550,42009,county,31.0,2020-11-07
2268553,42009,county,36.0,2020-11-08
2268556,42009,county,20.0,2020-11-09
2268559,42009,county,25.0,2020-11-10
2268562,42009,county,36.0,2020-11-11
2268565,42009,county,37.0,2020-11-12
2268568,42009,county,47.0,2020-11-13
2268571,42009,county,83.0,2020-11-14
2268574,42009,county,33.0,2020-11-15
2268577,42009,county,31.0,2020-11-16
2268580,42009,county,29.0,2020-11-17
2268583,42009,county,44.0,2020-11-18
2268586,42009,county,48.0,2020-11-19
2268589,42009,county,39.0,2020-11-20
2268592,42009,county,39.0,2020-11-21
2268595,42009,county,48.0,2020-11-22
2268598,42009,county,34.0,2020-11-23
2268601,42009,county,41.0,2020-11-24
2268604,42009,county,58.0,2020-11-25
2268607,42009,county,41.0,2020-11-26
2268610,42009,county,76.0,2020-11-27
2268613,42009,county,43.0,2020-11-28
2268616,42009,county,69.0,2020-11-29
2268619,42009,county,11.0,2020-11-30
2268622,42009,county,36.0,2020-12-01
2268625,42009,county,46.0,2020-12-02
2268628,42009,county,35.0,2020-12-03
2268631,42009,county,57.0,2020-12-04
2268634,42009,county,74.0,2020-12-05
2268637,42009,county,50.0,2020-12-06
2268640,42009,county,26.0,2020-12-07
2268643,42009,county,128.0,2020-12-08
2268646,42009,county,45.0,2020-12-09
2268649,42009,county,88.0,2020-12-10
2268652,42009,county,89.0,2020-12-11
2268655,42009,county,56.0,2020-12-12
2268658,42009,county,74.0,2020-12-13
2268661,42009,county,35.0,2020-12-14
2268664,42009,county,56.0,2020-12-15
2268667,42009,county,50.0,2020-12-16
2268670,42009,county,23.0,2020-12-17
2268673,42009,county,59.0,2020-12-18
2268676,42009,county,45.0,2020-12-19
2268679,42009,county,41.0,2020-12-20
2268682,42009,county,29.0,2020-12-21
2268685,42009,county,23.0,2020-12-22
2268688,42009,county,28.0,2020-12-23
2268691,42009,county,31.0,2020-12-24
2268694,42009,county,13.0,2020-12-25
2268697,42009,county,41.0,2020-12-26
2268700,42009,county,5.0,2020-12-27
2268703,42009,county,15.0,2020-12-28
2268706,42009,county,43.0,2020-12-29
2268709,42009,county,27.0,2020-12-30
2268712,42009,county,21.0,2020-12-31
2268715,42009,county,21.0,2021-01-01
2268718,42009,county,25.0,2021-01-02
2268721,42009,county,27.0,2021-01-03
2268724,42009,county,13.0,2021-01-04
2268727,42009,county,23.0,2021-01-05
2268730,42009,county,31.0,2021-01-06
2268733,42009,county,30.0,2021-01-07
2268736,42009,county,45.0,2021-01-08
2268739,42009,county,24.0,2021-01-09
2268742,42009,county,28.0,2021-01-10
2268745,42009,county,8.0,2021-01-11
2268748,42009,county,40.0,2021-01-12
2268751,42009,county,18.0,2021-01-13
2268754,42009,county,60.0,2021-01-14
2268757,42009,county,20.0,2021-01-15
2268760,42009,county,19.0,2021-01-16
2268763,42009,county,16.0,2021-01-17
2268766,42009,county,7.0,2021-01-18
2268769,42009,county,10.0,2021-01-19
2268772,42009,county,20.0,2021-01-20
2268775,42009,county,11.0,2021-01-21
2268778,42009,county,16.0,2021-01-22
2268781,42009,county,15.0,2021-01-23
2268784,42009,county,17.0,2021-01-24
2268787,42009,county,17.0,2021-01-25
2268790,42009,county,13.0,2021-01-26
2268793,42009,county,42.0,2021-01-27
2268796,42009,county,13.0,2021-01-28
2268799,42009,county,18.0,2021-01-29
2268802,42009,county,26.0,2021-01-30
2268805,42009,county,5.0,2021-01-31
2268808,42009,county,7.0,2021-02-01
2268811,42009,county,8.0,2021-02-02
2268814,42009,county,11.0,2021-02-03
2268817,42009,county,6.0,2021-02-04
2268820,42009,county,10.0,2021-02-05
2268823,42009,county,5.0,2021-02-06
2268826,42009,county,6.0,2021-02-07
2268829,42009,county,8.0,2021-02-08
2268832,42009,county,12.0,2021-02-09
2268835,42009,county,9.0,2021-02-10
2268838,42009,county,7.0,2021-02-11
2268841,42009,county,4.0,2021-02-12
2268844,42009,county,6.0,2021-02-13
2268847,42009,county,1.0,2021-02-14
2268850,42009,county,7.0,2021-02-15
2268853,42009,county,11.0,2021-02-16
2268856,42009,county,5.0,2021-02-17
2268859,42009,county,3.0,2021-02-18
2268862,42009,county,9.0,2021-02-19
2268865,42009,county,3.0,2021-02-20
2268868,42009,county,3.0,2021-02-21
2268871,42009,county,6.0,2021-02-22
2268874,42009,county,7.0,2021-02-23
2268877,42009,county,3.0,2021-02-24
2268880,42009,county,5.0,2021-02-25
2268883,42009,county,3.0,2021-02-26
2268886,42009,county,9.0,2021-02-27
2268889,42009,county,2.0,2021-02-28
2268892,42009,county,3.0,2021-03-01
2268895,42009,county,7.0,2021-03-02
2268898,42009,county,2.0,2021-03-03
2268901,42009,county,4.0,2021-03-04
2268904,42009,county,10.0,2021-03-05
2268907,42009,county,8.0,2021-03-06
2268910,42009,county,4.0,2021-03-07
2268913,42009,county,1.0,2021-03-08
2268916,42009,county,8.0,2021-03-09
2268919,42009,county,5.0,2021-03-10
2268922,42009,county,2.0,2021-03-11
2268925,42009,county,11.0,2021-03-12
2268928,42009,county,9.0,2021-03-13
2268931,42009,county,2.0,2021-03-14
2268934,42009,county,1.0,2021-03-15
2268937,42009,county,12.0,2021-03-16
2268940,42009,county,2.0,2021-03-17
2268943,42009,county,4.0,2021-03-18
2268946,42009,county,1.0,2021-03-19
2268949,42009,county,16.0,2021-03-20
2268952,42009,county,5.0,2021-03-21
2268955,42009,county,0.0,2021-03-22
2268958,42009,county,6.0,2021-03-23
2268961,42009,county,2.0,2021-03-24
2268964,42009,county,10.0,2021-03-25
2268967,42009,county,3.0,2021-03-26
2268970,42009,county,3.0,2021-03-27
2268973,42009,county,5.0,2021-03-28
2268976,42009,county,0.0,2021-03-29
2268979,42009,county,1.0,2021-03-30
2268982,42009,county,9.0,2021-03-31
2268985,42009,county,6.0,2021-04-01
2268988,42009,county,16.0,2021-04-02
2268991,42009,county,13.0,2021-04-03
2268994,42009,county,10.0,2021-04-04
2268997,42009,county,2.0,2021-04-05
2269000,42009,county,9.0,2021-04-06
2269003,42009,county,12.0,2021-04-07
2269006,42009,county,4.0,2021-04-08
2269009,42009,county,9.0,2021-04-09
2269012,42009,county,7.0,2021-04-10
2269015,42009,county,13.0,2021-04-11
2269018,42009,county,6.0,2021-04-12
2269021,42009,county,26.0,2021-04-13
2269024,42009,county,15.0,2021-04-14
2269027,42009,county,17.0,2021-04-15
2269030,42009,county,21.0,2021-04-16
2269033,42009,county,15.0,2021-04-17
2269036,42009,county,15.0,2021-04-18
2269039,42009,county,8.0,2021-04-19
2269042,42009,county,25.0,2021-04-20
2269045,42009,county,17.0,2021-04-21
2269048,42009,county,26.0,2021-04-22
2269051,42009,county,24.0,2021-04-23
2269054,42009,county,14.0,2021-04-24
2269057,42009,county,8.0,2021-04-25
2269060,42009,county,2.0,2021-04-26
2269063,42009,county,17.0,2021-04-27
2269066,42009,county,7.0,2021-04-28
2269069,42009,county,12.0,2021-04-29
2269072,42009,county,23.0,2021-04-30
2269075,42009,county,10.0,2021-05-01
2269078,42009,county,8.0,2021-05-02
2269081,42009,county,9.0,2021-05-03
2269084,42009,county,6.0,2021-05-04
2269087,42009,county,20.0,2021-05-05
2269090,42009,county,15.0,2021-05-06
2269093,42009,county,16.0,2021-05-07
2269096,42009,county,11.0,2021-05-08
2269099,42009,county,8.0,2021-05-09
2269102,42009,county,3.0,2021-05-10
2269105,42009,county,16.0,2021-05-11
2269108,42009,county,8.0,2021-05-12
2269111,42009,county,19.0,2021-05-13
2269114,42009,county,9.0,2021-05-14
2269117,42009,county,11.0,2021-05-15
2269120,42009,county,4.0,2021-05-16
2269123,42009,county,1.0,2021-05-17
2269126,42009,county,10.0,2021-05-18
2269129,42009,county,7.0,2021-05-19
2269132,42009,county,16.0,2021-05-20
2269135,42009,county,11.0,2021-05-21
2269138,42009,county,3.0,2021-05-22
2269141,42009,county,10.0,2021-05-23
2269144,42009,county,2.0,2021-05-24
2269147,42009,county,18.0,2021-05-25
2269150,42009,county,5.0,2021-05-26
2269153,42009,county,9.0,2021-05-27
2269156,42009,county,17.0,2021-05-28
2269159,42009,county,7.0,2021-05-29
2269162,42009,county,5.0,2021-05-30
2269165,42009,county,3.0,2021-05-31
2269168,42009,county,9.0,2021-06-01
2269171,42009,county,6.0,2021-06-02
2269174,42009,county,2.0,2021-06-03
2269177,42009,county,6.0,2021-06-04
2269180,42009,county,8.0,2021-06-05
2269183,42009,county,2.0,2021-06-06
2269186,42009,county,1.0,2021-06-07
2269189,42009,county,1.0,2021-06-08
2269192,42009,county,6.0,2021-06-09
2269195,42009,county,12.0,2021-06-10
2269198,42009,county,5.0,2021-06-11
2269201,42009,county,0.0,2021-06-12
2269204,42009,county,2.0,2021-06-13
2269207,42009,county,1.0,2021-06-14
2269210,42009,county,0.0,2021-06-15
2269213,42009,county,7.0,2021-06-16
2269216,42009,county,5.0,2021-06-17
2269219,42009,county,0.0,2021-06-18
2269222,42009,county,0.0,2021-06-19
2269225,42009,county,0.0,2021-06-20
2269228,42009,county,0.0,2021-06-21
2269231,42009,county,1.0,2021-06-22
2269234,42009,county,2.0,2021-06-23
2269237,42009,county,2.0,2021-06-24
2269240,42009,county,0.0,2021-06-25
2269243,42009,county,4.0,2021-06-26
2269246,42009,county,0.0,2021-06-27
2269249,42009,county,0.0,2021-06-28
2269252,42009,county,6.0,2021-06-29
2269255,42009,county,1.0,2021-06-30
2269258,42009,county,3.0,2021-07-01
2269261,42009,county,0.0,2021-07-02
2269264,42009,county,2.0,2021-07-03
2269267,42009,county,0.0,2021-07-04
2269270,42009,county,0.0,2021-07-05
2269273,42009,county,0.0,2021-07-06
2269276,42009,county,7.0,2021-07-07
2269279,42009,county,1.0,2021-07-08
2269282,42009,county,0.0,2021-07-09
2269285,42009,county,1.0,2021-07-10
2269288,42009,county,0.0,2021-07-11
2269291,42009,county,0.0,2021-07-12
2269294,42009,county,0.0,2021-07-13
2269297,42009,county,2.0,2021-07-14
2269300,42009,county,1.0,2021-07-15
2269303,42009,county,0.0,2021-07-16
2269306,42009,county,0.0,2021-07-17
2269309,42009,county,1.0,2021-07-18
2269312,42009,county,2.0,2021-07-19
2269315,42009,county,0.0,2021-07-20
2269318,42009,county,0.0,2021-07-21
2269321,42009,county,1.0,2021-07-22
2269324,42009,county,0.0,2021-07-23
2269327,42009,county,2.0,2021-07-24
2269330,42009,county,0.0,2021-07-25
2269333,42009,county,0.0,2021-07-26
2269336,42009,county,2.0,2021-07-27
2269339,42009,county,1.0,2021-07-28
2269342,42009,county,3.0,2021-07-29
2269345,42009,county,3.0,2021-07-30
2269348,42009,county,9.0,2021-07-31
2269351,42009,county,0.0,2021-08-01
2269354,42009,county,3.0,2021-08-02
2269357,42009,county,5.0,2021-08-03
2269360,42009,county,5.0,2021-08-04
2269363,42009,county,11.0,2021-08-05
2269366,42009,county,9.0,2021-08-06
2269369,42009,county,1.0,2021-08-07
2269372,42009,county,3.0,2021-08-08
2269375,42009,county,7.0,2021-08-09
2269378,42009,county,8.0,2021-08-10
2269381,42009,county,7.0,2021-08-11
2269384,42009,county,6.0,2021-08-12
2269387,42009,county,2.0,2021-08-13
2269390,42009,county,10.0,2021-08-14
2269393,42009,county,10.0,2021-08-15
2269396,42009,county,9.0,2021-08-16
2269399,42009,county,11.0,2021-08-17
2269402,42009,county,7.0,2021-08-18
2269405,42009,county,18.0,2021-08-19
2269408,42009,county,5.0,2021-08-20
2269411,42009,county,36.0,2021-08-21
2269414,42009,county,3.0,2021-08-22
2269417,42009,county,2.0,2021-08-23
2269420,42009,county,5.0,2021-08-24
2269423,42009,county,0.0,2021-08-25
2269426,42009,county,11.0,2021-08-26
2269429,42009,county,20.0,2021-08-27
2269432,42009,county,14.0,2021-08-28
2269435,42009,county,6.0,2021-08-29
2269438,42009,county,7.0,2021-08-30
2269441,42009,county,11.0,2021-08-31
2269444,42009,county,17.0,2021-09-01
2269447,42009,county,19.0,2021-09-02
2269450,42009,county,11.0,2021-09-03
2269453,42009,county,23.0,2021-09-04
2269456,42009,county,15.0,2021-09-05
2269459,42009,county,12.0,2021-09-06
2269462,42009,county,2.0,2021-09-07
2269465,42009,county,29.0,2021-09-08
2269468,42009,county,41.0,2021-09-09
2269471,42009,county,36.0,2021-09-10
2269474,42009,county,46.0,2021-09-11
2269477,42009,county,24.0,2021-09-12
2269480,42009,county,29.0,2021-09-13
2269483,42009,county,26.0,2021-09-14
2269486,42009,county,20.0,2021-09-15
2269489,42009,county,68.0,2021-09-16
2269492,42009,county,52.0,2021-09-17
2269495,42009,county,62.0,2021-09-18
2269498,42009,county,39.0,2021-09-19
2269501,42009,county,25.0,2021-09-20
2269504,42009,county,32.0,2021-09-21
2269507,42009,county,24.0,2021-09-22
2269510,42009,county,40.0,2021-09-23
2269513,42009,county,68.0,2021-09-24
2269516,42009,county,50.0,2021-09-25
2269519,42009,county,39.0,2021-09-26
2269522,42009,county,25.0,2021-09-27
2269525,42009,county,28.0,2021-09-28
2269528,42009,county,40.0,2021-09-29
2269531,42009,county,50.0,2021-09-30
2269534,42009,county,46.0,2021-10-01
2269537,42009,county,43.0,2021-10-02
2269540,42009,county,31.0,2021-10-03
2269543,42009,county,24.0,2021-10-04
2269546,42009,county,38.0,2021-10-05
2269549,42009,county,34.0,2021-10-06
2269552,42009,county,43.0,2021-10-07
2269555,42009,county,43.0,2021-10-08
2269558,42009,county,29.0,2021-10-09
2269561,42009,county,15.0,2021-10-10
2269564,42009,county,8.0,2021-10-11
2269567,42009,county,33.0,2021-10-12
2269570,42009,county,29.0,2021-10-13
2269573,42009,county,51.0,2021-10-14
2269576,42009,county,30.0,2021-10-15
2269579,42009,county,34.0,2021-10-16
2269582,42009,county,15.0,2021-10-17
2269585,42009,county,12.0,2021-10-18
2269588,42009,county,24.0,2021-10-19
2269591,42009,county,31.0,2021-10-20
2269594,42009,county,34.0,2021-10-21
2269597,42009,county,36.0,2021-10-22
2269600,42009,county,24.0,2021-10-23
2269603,42009,county,15.0,2021-10-24
2269606,42009,county,5.0,2021-10-25
2269609,42009,county,17.0,2021-10-26
2269612,42009,county,20.0,2021-10-27
2269615,42009,county,23.0,2021-10-28
2269618,42009,county,42.0,2021-10-29
2269621,42009,county,24.0,2021-10-30
2269624,42009,county,25.0,2021-10-31
2269627,42009,county,15.0,2021-11-01
2269630,42009,county,23.0,2021-11-02
2269633,42009,county,19.0,2021-11-03
2269636,42009,county,37.0,2021-11-04
2269639,42009,county,45.0,2021-11-05
2269642,42009,county,32.0,2021-11-06
2269645,42009,county,13.0,2021-11-07
2269648,42009,county,15.0,2021-11-08
2269651,42009,county,10.0,2021-11-09
2269654,42009,county,16.0,2021-11-10
2269657,42009,county,58.0,2021-11-11
2269660,42009,county,24.0,2021-11-12
2269663,42009,county,35.0,2021-11-13
2269666,42009,county,39.0,2021-11-14
2269669,42009,county,7.0,2021-11-15
2269672,42009,county,30.0,2021-11-16
2269675,42009,county,24.0,2021-11-17
2269678,42009,county,43.0,2021-11-18
2269681,42009,county,53.0,2021-11-19
2269684,42009,county,46.0,2021-11-20
2269687,42009,county,28.0,2021-11-21
2269690,42009,county,19.0,2021-11-22
2269693,42009,county,18.0,2021-11-23
2269696,42009,county,28.0,2021-11-24
2269699,42009,county,22.0,2021-11-25
2269702,42009,county,21.0,2021-11-26
2269705,42009,county,30.0,2021-11-27
2269708,42009,county,8.0,2021-11-28
2269711,42009,county,13.0,2021-11-29
2269714,42009,county,32.0,2021-11-30
2269717,42009,county,56.0,2021-12-01
2269720,42009,county,51.0,2021-12-02
2269723,42009,county,49.0,2021-12-03
2269726,42009,county,33.0,2021-12-04
2269729,42009,county,29.0,2021-12-05
2269732,42009,county,15.0,2021-12-06
2269735,42009,county,33.0,2021-12-07
2269738,42009,county,31.0,2021-12-08
2269741,42009,county,39.0,2021-12-09
2269744,42009,county,41.0,2021-12-10
2269747,42009,county,47.0,2021-12-11
2269750,42009,county,18.0,2021-12-12
2269753,42009,county,27.0,2021-12-13
2269756,42009,county,28.0,2021-12-14
2269759,42009,county,25.0,2021-12-15
2269762,42009,county,48.0,2021-12-16
2269765,42009,county,35.0,2021-12-17
2269768,42009,county,57.0,2021-12-18
2269771,42009,county,33.0,2021-12-19
2269774,42009,county,3.0,2021-12-20
2269777,42009,county,31.0,2021-12-21
2269780,42009,county,23.0,2021-12-22
2269783,42009,county,35.0,2021-12-23
2269786,42009,county,23.0,2021-12-24
2269789,42009,county,29.0,2021-12-25
2269792,42009,county,4.0,2021-12-26
2269795,42009,county,2.0,2021-12-27
2269798,42009,county,20.0,2021-12-28
2269801,42009,county,31.0,2021-12-29
2269804,42009,county,73.0,2021-12-30
2269807,42009,county,62.0,2021-12-31
2269810,42011,county,59.0,2020-05-01
2269814,42011,county,57.0,2020-05-02
2269818,42011,county,71.0,2020-05-03
2269822,42011,county,63.0,2020-05-04
2269826,42011,county,54.0,2020-05-05
2269830,42011,county,48.0,2020-05-06
2269834,42011,county,40.0,2020-05-07
2269838,42011,county,95.0,2020-05-08
2269842,42011,county,62.0,2020-05-09
2269846,42011,county,124.0,2020-05-10
2269850,42011,county,42.0,2020-05-11
2269854,42011,county,30.0,2020-05-12
2269858,42011,county,40.0,2020-05-13
2269862,42011,county,43.0,2020-05-14
2269866,42011,county,59.0,2020-05-15
2269870,42011,county,49.0,2020-05-16
2269874,42011,county,40.0,2020-05-17
2269878,42011,county,43.0,2020-05-18
2269882,42011,county,11.0,2020-05-19
2269886,42011,county,26.0,2020-05-20
2269890,42011,county,18.0,2020-05-21
2269894,42011,county,51.0,2020-05-22
2269898,42011,county,15.0,2020-05-23
2269902,42011,county,37.0,2020-05-24
2269906,42011,county,21.0,2020-05-25
2269910,42011,county,13.0,2020-05-26
2269914,42011,county,32.0,2020-05-27
2269918,42011,county,18.0,2020-05-28
2269922,42011,county,17.0,2020-05-29
2269926,42011,county,12.0,2020-05-30
2269930,42011,county,61.0,2020-05-31
2269934,42011,county,13.0,2020-06-01
2269938,42011,county,34.0,2020-06-02
2269942,42011,county,23.0,2020-06-03
2269946,42011,county,20.0,2020-06-04
2269950,42011,county,15.0,2020-06-05
2269954,42011,county,22.0,2020-06-06
2269958,42011,county,13.0,2020-06-07
2269962,42011,county,16.0,2020-06-08
2269966,42011,county,16.0,2020-06-09
2269970,42011,county,17.0,2020-06-10
2269974,42011,county,13.0,2020-06-11
2269978,42011,county,15.0,2020-06-12
2269982,42011,county,21.0,2020-06-13
2269986,42011,county,13.0,2020-06-14
2269990,42011,county,7.0,2020-06-15
2269994,42011,county,16.0,2020-06-16
2269998,42011,county,6.0,2020-06-17
2270002,42011,county,14.0,2020-06-18
2270006,42011,county,14.0,2020-06-19
2270010,42011,county,14.0,2020-06-20
2270014,42011,county,19.0,2020-06-21
2270018,42011,county,14.0,2020-06-22
2270022,42011,county,29.0,2020-06-23
2270026,42011,county,6.0,2020-06-24
2270030,42011,county,9.0,2020-06-25
2270034,42011,county,14.0,2020-06-26
2270038,42011,county,13.0,2020-06-27
2270042,42011,county,12.0,2020-06-28
2270046,42011,county,26.0,2020-06-29
2270050,42011,county,8.0,2020-06-30
2270054,42011,county,27.0,2020-07-01
2270058,42011,county,6.0,2020-07-02
2270062,42011,county,5.0,2020-07-03
2270066,42011,county,5.0,2020-07-04
2270070,42011,county,7.0,2020-07-05
2270074,42011,county,3.0,2020-07-06
2270078,42011,county,24.0,2020-07-07
2270082,42011,county,19.0,2020-07-08
2270086,42011,county,21.0,2020-07-09
2270090,42011,county,15.0,2020-07-10
2270094,42011,county,19.0,2020-07-11
2270098,42011,county,8.0,2020-07-12
2270102,42011,county,9.0,2020-07-13
2270106,42011,county,16.0,2020-07-14
2270110,42011,county,26.0,2020-07-15
2270114,42011,county,18.0,2020-07-16
2270118,42011,county,20.0,2020-07-17
2270122,42011,county,20.0,2020-07-18
2270126,42011,county,28.0,2020-07-19
2270130,42011,county,29.0,2020-07-20
2270134,42011,county,21.0,2020-07-21
2270138,42011,county,21.0,2020-07-22
2270142,42011,county,32.0,2020-07-23
2270146,42011,county,57.0,2020-07-24
2270150,42011,county,32.0,2020-07-25
2270154,42011,county,15.0,2020-07-26
2270158,42011,county,21.0,2020-07-27
2270162,42011,county,36.0,2020-07-28
2270166,42011,county,22.0,2020-07-29
2270170,42011,county,27.0,2020-07-30
2270174,42011,county,29.0,2020-07-31
2270178,42011,county,14.0,2020-08-01
2270182,42011,county,22.0,2020-08-02
2270186,42011,county,30.0,2020-08-03
2270190,42011,county,29.0,2020-08-04
2270194,42011,county,24.0,2020-08-05
2270198,42011,county,28.0,2020-08-06
2270202,42011,county,22.0,2020-08-07
2270206,42011,county,29.0,2020-08-08
2270210,42011,county,30.0,2020-08-09
2270214,42011,county,25.0,2020-08-10
2270218,42011,county,26.0,2020-08-11
2270222,42011,county,32.0,2020-08-12
2270226,42011,county,26.0,2020-08-13
2270230,42011,county,41.0,2020-08-14
2270234,42011,county,32.0,2020-08-15
2270238,42011,county,29.0,2020-08-16
2270242,42011,county,12.0,2020-08-17
2270246,42011,county,42.0,2020-08-18
2270250,42011,county,38.0,2020-08-19
2270254,42011,county,26.0,2020-08-20
2270258,42011,county,42.0,2020-08-21
2270262,42011,county,36.0,2020-08-22
2270266,42011,county,32.0,2020-08-23
2270270,42011,county,35.0,2020-08-24
2270274,42011,county,44.0,2020-08-25
2270278,42011,county,27.0,2020-08-26
2270282,42011,county,24.0,2020-08-27
2270286,42011,county,38.0,2020-08-28
2270290,42011,county,30.0,2020-08-29
2270294,42011,county,29.0,2020-08-30
2270298,42011,county,14.0,2020-08-31
2270302,42011,county,44.0,2020-09-01
2270306,42011,county,35.0,2020-09-02
2270310,42011,county,44.0,2020-09-03
2270314,42011,county,37.0,2020-09-04
2270318,42011,county,46.0,2020-09-05
2270322,42011,county,22.0,2020-09-06
2270326,42011,county,33.0,2020-09-07
2270330,42011,county,34.0,2020-09-08
2270334,42011,county,49.0,2020-09-09
2270338,42011,county,17.0,2020-09-10
2270342,42011,county,29.0,2020-09-11
2270346,42011,county,86.0,2020-09-12
2270350,42011,county,27.0,2020-09-13
2270354,42011,county,43.0,2020-09-14
2270358,42011,county,60.0,2020-09-15
2270362,42011,county,48.0,2020-09-16
2270366,42011,county,46.0,2020-09-17
2270370,42011,county,31.0,2020-09-18
2270374,42011,county,23.0,2020-09-19
2270378,42011,county,37.0,2020-09-20
2270382,42011,county,30.0,2020-09-21
2270386,42011,county,42.0,2020-09-22
2270390,42011,county,33.0,2020-09-23
2270394,42011,county,21.0,2020-09-24
2270398,42011,county,21.0,2020-09-25
2270402,42011,county,35.0,2020-09-26
2270406,42011,county,52.0,2020-09-27
2270410,42011,county,25.0,2020-09-28
2270414,42011,county,50.0,2020-09-29
2270418,42011,county,41.0,2020-09-30
2270422,42011,county,27.0,2020-10-01
2270426,42011,county,56.0,2020-10-02
2270430,42011,county,39.0,2020-10-03
2270434,42011,county,45.0,2020-10-04
2270438,42011,county,35.0,2020-10-05
2270442,42011,county,34.0,2020-10-06
2270446,42011,county,84.0,2020-10-07
2270450,42011,county,66.0,2020-10-08
2270454,42011,county,82.0,2020-10-09
2270458,42011,county,70.0,2020-10-10
2270462,42011,county,62.0,2020-10-11
2270466,42011,county,37.0,2020-10-12
2270470,42011,county,76.0,2020-10-13
2270474,42011,county,63.0,2020-10-14
2270478,42011,county,77.0,2020-10-15
2270482,42011,county,69.0,2020-10-16
2270486,42011,county,105.0,2020-10-17
2270490,42011,county,77.0,2020-10-18
2270494,42011,county,92.0,2020-10-19
2270498,42011,county,74.0,2020-10-20
2270502,42011,county,89.0,2020-10-21
2270506,42011,county,93.0,2020-10-22
2270510,42011,county,65.0,2020-10-23
2270514,42011,county,121.0,2020-10-24
2270518,42011,county,106.0,2020-10-25
2270522,42011,county,98.0,2020-10-26
2270526,42011,county,128.0,2020-10-27
2270530,42011,county,133.0,2020-10-28
2270534,42011,county,106.0,2020-10-29
2270538,42011,county,94.0,2020-10-30
2270542,42011,county,83.0,2020-10-31
2270546,42011,county,84.0,2020-11-01
2270550,42011,county,90.0,2020-11-02
2270554,42011,county,117.0,2020-11-03
2270558,42011,county,114.0,2020-11-04
2270562,42011,county,86.0,2020-11-05
2270566,42011,county,111.0,2020-11-06
2270570,42011,county,114.0,2020-11-07
2270574,42011,county,74.0,2020-11-08
2270578,42011,county,93.0,2020-11-09
2270582,42011,county,156.0,2020-11-10
2270586,42011,county,168.0,2020-11-11
2270590,42011,county,136.0,2020-11-12
2270594,42011,county,131.0,2020-11-13
2270598,42011,county,166.0,2020-11-14
2270602,42011,county,156.0,2020-11-15
2270606,42011,county,202.0,2020-11-16
2270610,42011,county,168.0,2020-11-17
2270614,42011,county,175.0,2020-11-18
2270618,42011,county,189.0,2020-11-19
2270622,42011,county,146.0,2020-11-20
2270626,42011,county,154.0,2020-11-21
2270630,42011,county,152.0,2020-11-22
2270634,42011,county,210.0,2020-11-23
2270638,42011,county,161.0,2020-11-24
2270642,42011,county,142.0,2020-11-25
2270646,42011,county,317.0,2020-11-26
2270650,42011,county,165.0,2020-11-27
2270654,42011,county,171.0,2020-11-28
2270658,42011,county,176.0,2020-11-29
2270662,42011,county,74.0,2020-11-30
2270666,42011,county,102.0,2020-12-01
2270670,42011,county,312.0,2020-12-02
2270674,42011,county,452.0,2020-12-03
2270678,42011,county,351.0,2020-12-04
2270682,42011,county,359.0,2020-12-05
2270686,42011,county,267.0,2020-12-06
2270690,42011,county,291.0,2020-12-07
2270694,42011,county,399.0,2020-12-08
2270698,42011,county,312.0,2020-12-09
2270702,42011,county,381.0,2020-12-10
2270706,42011,county,272.0,2020-12-11
2270710,42011,county,389.0,2020-12-12
2270714,42011,county,237.0,2020-12-13
2270718,42011,county,369.0,2020-12-14
2270722,42011,county,327.0,2020-12-15
2270726,42011,county,317.0,2020-12-16
2270730,42011,county,346.0,2020-12-17
2270734,42011,county,271.0,2020-12-18
2270738,42011,county,337.0,2020-12-19
2270742,42011,county,242.0,2020-12-20
2270746,42011,county,281.0,2020-12-21
2270750,42011,county,257.0,2020-12-22
2270754,42011,county,304.0,2020-12-23
2270758,42011,county,315.0,2020-12-24
2270762,42011,county,323.0,2020-12-25
2270766,42011,county,284.0,2020-12-26
2270770,42011,county,275.0,2020-12-27
2270774,42011,county,192.0,2020-12-28
2270778,42011,county,275.0,2020-12-29
2270782,42011,county,393.0,2020-12-30
2270786,42011,county,294.0,2020-12-31
2270790,42011,county,314.0,2021-01-01
2270794,42011,county,287.0,2021-01-02
2270798,42011,county,189.0,2021-01-03
2270802,42011,county,138.0,2021-01-04
2270806,42011,county,466.0,2021-01-05
2270810,42011,county,383.0,2021-01-06
2270814,42011,county,333.0,2021-01-07
2270818,42011,county,338.0,2021-01-08
2270822,42011,county,316.0,2021-01-09
2270826,42011,county,301.0,2021-01-10
2270830,42011,county,228.0,2021-01-11
2270834,42011,county,326.0,2021-01-12
2270838,42011,county,383.0,2021-01-13
2270842,42011,county,279.0,2021-01-14
2270846,42011,county,293.0,2021-01-15
2270850,42011,county,343.0,2021-01-16
2270854,42011,county,201.0,2021-01-17
2270858,42011,county,156.0,2021-01-18
2270862,42011,county,329.0,2021-01-19
2270866,42011,county,196.0,2021-01-20
2270870,42011,county,173.0,2021-01-21
2270874,42011,county,260.0,2021-01-22
2270878,42011,county,288.0,2021-01-23
2270882,42011,county,122.0,2021-01-24
2270886,42011,county,133.0,2021-01-25
2270890,42011,county,184.0,2021-01-26
2270894,42011,county,217.0,2021-01-27
2270898,42011,county,736.0,2021-01-28
2270902,42011,county,893.0,2021-01-29
